ophtalmicus|ophtalmĭcus=ophtālmĭcus|1|||i, m.
oporteo|ŏporteo=ŏpōrtĕo|18|ŏpōrtŭ||v. défectif utilisé seulement à la 3ème personne du singulier
opust|ŏpust=ŏpūst|30|||+abl. contr.
pace|pācē|30|||prép. + Gén.
pandateria|Pandateria=Pāndaterĭa|0|||ae, f.
pandusa|Pandusa=Pāndusa|0|||ae, m.
panthia|Panthia=Pānthĭa|0|||ae, f.
pantuleius|Pantuleius=Pāntulējus|1|||i, m.
passenus|Passenus=Pāssenus|1|||i, m.
patientius|pătientiŭs=pătĭēntĭŭs|30|||adv.
paula|Paula=Pāula|0|||ae, f.
pelida|Pēlīda|0|||cf. Pelides
penest|pĕnest=pĕnēst|30|||contr.
percennius|Percennius=Pērcēnnĭus|1|||i, m.
peri|pĕrĭ|30|||prép.
pertimescendus|pertĭmescendus=pērtĭmēscēndus|11|||a, um
pertrunco|pertrunco=pērtrūnco|17|||as, are
photis|Phōtis=Phōtĭs|5|Phōtĭd||is, f.
phrygii|Phrўgii=Phrўgĭi|1|||orum, m. pl.
pituavius|Pituavius=Pitŭavĭus|1|||i, m.
placet|plăcĕt|18|||impers.
pompeiani|Pompēiāni=Pōmpējāni|1|||orum, m. pl.
popidius|Pŏpĭdius=Pŏpĭdĭus|1|||ii, m.
poplo|pŏplo=pō̆plō|30|||contr.
pravius|prāvius=prāvĭus|11|||a, um
presbiter|presbĭtĕr=prēsbĭtĕr|2|||cf. presbyter
procillus|Procillus=Procīllus|1|||i, m.
proculeia|Proculeia=Proculēja|0|||ae, f.
promptarius|promptārius=prōmptārĭus|11|||a, um
proxumo|proxŭmo=prōxŭmo|17|||as, are
pullati|pullāti=pūllāti|1|||orum, m. pl.
puplicitus|pūplĭcĭtŭs|30|||adv.
quadragenus|quādrāgēnus|11|-|-|a, um
quadringentus|quādringentus=quādrīngēntus|11|-|-|cf. quadringenti
quadrupedo|quădrŭpĕdō=quā̆drŭpĕdō|30|||(gradu)
quartadecumanus|quartădĕcŭmānus=quārtădĕcŭmānus|1|||i, m.
quibuscum|quĭbūscŭm|30|||Err :509
quicquis|quicquis=quīcquis|29|||quidquid ou quicquid
quingentus|quingentus=quīngēntus|11|-|-|cf. quingeni
quintadecumanus|quintădĕcŭmānus=quīntădĕcŭmānus|1|||i, m.
quodcumque|quodcumquĕ=quōdcūmquĕ|30|||inv.
quodsi|quodsi=quōdsī|30|||inv.
quoiquam|quōĭquam=quōĭquăm|30|||arc.
rectina|Rectina=Rēctina|0|||ae, f.
retarius|rētārĭus|1|||cf. retiarius
rhaebus|Rhaebus=Rhāebus|1|||i, m.
rhescuporis|Rhescuporis=Rhēscuporĭs|5|Rhēscuporĭd||is, m.
rhoecogenes|Rhoecogenes=Rhōecogenēs|5|Rhōecogen||is, m.
rhoemetalces|Rhoemetalces=Rhōemetālcēs|5|Rhōemetālc||,is, m.
roucillus|Roucillus=Rŏucīllus|1|||i, m.
saeclaris|saeclāris=sāeclārĭs|14|sāeclār,sāecŭlār||e
salvete|salvētē=sālvētē|30|||cf. salue
sanctius|sanctiŭs=sānctĭŭs|30|||comp. de sancte
sanga|Sanga=Sānga|0|||ae, m.
sarracenus|sarracēnus=sārracēnus|11|||a, um
satin|sătĭn|30|||inv.
scabrus|scabrus=scā̆brus|11|||a, um
scorpus|Scorpus=Scōrpus|1|||i, m.
segidenses|Segidenses=Segidēnsĕs|5|Segidēns||um, m. pl.
selenium|Selenium=Selenĭŭm|4|||i, n.
seribibus|sērĭbĭbus|1|||i, m.
servaeus|Servaeus=Sērvāēus|1|||i, m.
sescentus|sescentus=sēscēntus|11|-|-|orum
siet|siet=sĭĕt|30|||arch.
sillius|Sillius=Sīllĭus|1|||i, m.
sorrentum|Sorrentum=Sōrrēntŭm|4|||i, n.
stabula|stăbŭla|0|||ae, f.
stronnius|Stronnius=Strōnnĭus|1|||ii, m.
styga|Stўgă|30|||acc. grec de Styx, Stygos
suapte|suaptĕ=sŭāptĕ|30|||pron.
suffetius|Suffetius=Sūffetĭus|1|||i, m.
sulphuratum|sulphŭrātum=sūlphŭrātŭm|4|||i, n.
sumptuosius|sumptuōsiŭs=sūmptŭōsĭŭs|30|||adv.
sygambrus|Sўgambrus=Sўgāmbrus|1|||i, m.
synanchen|sȳnanchēn=sȳnānchēn|30|||acc. sing.
syracusa|Sўrācūsa|0|||cf. Syracusae
tacedum|tăcĕdŭm|30|||inv.
tarquinia|Tarquĭnia=Tārquĭnĭa|0|||ae, f.
tarquinus|Tarquĭnus=Tārquĭnus|1|||i, m.
tascus|Tascus=Tāscus|1|||i, m.
terrasidius|Terrasidius=Tērrasidĭus|1|||i, m.
thoria|Thoria=Thorĭa|0|||ae (lex)
ti|Ti|30|||abr.
tib|Tib|30|||abrév.
tigurinus|Tigŭrīnus|1|||i, m.
timoneus|Timoneus=Timonēus|11|||, a, um
titidius|Titidius=Titidĭus|1|||i, m.
trebellenus|Trebellenus=Trebēllenus|1|||i, m.
trecentus|trĕcentus=trĕcēntus|11|-|-|cf. trecenti
trecenus|trĕcēnus|11|-|-|cf. treceni
tremens|trĕmens=trĕmēns|14|trĕmēnt||entis
tricenus|trīcēnus|11|-|-|cf. triceni
trigemina|Trīgemĭna|0|||(porta), f.
trinovantes|Trinovantes=Trinovāntēs|5|Trinovānt||um
turannius|Turannius=Turānnĭus|1|||, i, m.
turpest|turpest=tūrpēst|30|||contr.
tutidanus|Tutidanus|1|||i, m.
typhonas|tȳphōnās|30|||acc. gr.
ulixus|Ulixus=Ulīxus|1|||i, m.
umiditas|ūmĭdĭtās|5|ūmĭdĭtāt||atis, f.
unetvicesimanus|ūnetvīcēsĭmānus=ūnētvīcēsĭmānus|1|||i, m.
urgulania|Urgulania=Ūrgulanĭa|0|||ae, f.
urgulanilla|Urgulanilla=Ūrgulanīlla|0|||ae, f.
usumfructum|ūsumfructum=ūsūmfrūctŭm|30|||acc. de ususfructus
utqui|utqui=ūtquī|30|||conj.
varilla|Varilla=Varīlla|0|||ae, f.
velanius|Velanius=Velanĭus|1|||i, m.
verania|Verania=Veranĭa|0|||ae, f.
veranius|Veranius=Veranĭus|1|||i, m.
verendum|vĕrendum=vĕrēndŭm|4|||i, n.
vescularius|Vesculārius=Vēsculārĭus|1|||i, m.
vibenna|Vibenna=Vibēnna|0|||ae, m.
vibidius|Vibidius=Vibidĭus|1|||i, m.
vibilius|Vibilius=Vibilĭus|1|||i, m.
vibulanus|Vibulanus|1|||i, m.
vibulenus|Vibulenus|1|||i, m.
vicenus|vīcēnus|11|-|-|ae, a
vicesimanus|vīcēsĭmānus|1|||i, m.
vidibius|Vidibius=Vidibĭus|1|||i, m.
vili|vīlī|30|||adv.
vispania|Vispania=Vīspanĭa|0|||ae, f.
vistilia|Vistilia=Vīstilĭa|0|||ae, f.
vitreum|vitrĕum=vī̆trĕŭm|4|||i, n.
volesius|Volesius=Volesĭus|1|||i, m.
volturcus|Volturcus=Vōltūrcus|1|||i, m.
xytilis|Xytilis=Xytilĭs|6|Xytil||is, f.
