-us,|1
cecidī,|2
cāsūrus,|2
κηρύκειον,|1
κηρύκιον|2
cecīdī,|2
caesum,|1
libis|1
C.|6
καιρόεις|1
pitis,|5
brīcis,|1
midis,|2
κρήδεµνον|1
calcaneum|1
ὑποδηµατάριος|1
171|1
R.),|1
Chalcēdon),|1
caluī,|5
Callirhoē),|1
scī,|1
tricis,|6
σχοινοβάτης|1
apiciosus|1
vī,|1
Depon.|1
cis,|2
ycis,|2
stris,|2
stre|2
κάµπτριον|1
ēris,|10
cannaba,|1
canava,|1
canapa),|1
crī,|4
brī,|7
duī,|12
P.</B>|1
canistrum|1
bis|3
cecinī,|2
cantum,|1
Κανθαρόλεθρος|1
Flāvius|1
Itūrus,|1
captum,|2
quod|3
capi|1
potest,|1
65,|1
18|3
αἴγειος|1
yis|3
atis|8
quam|1
Afrorum|1
lingua|1
panem|1
esse|7
dicimus,|1
Plac.|1
26.|2
ricis,|1
em,|2
E|2
ridis,|4
carnis,|1
carpsī,|1
carptum,|1
mons|3
der|3
Aurelius|2
ēris|11
L.|4
Sergius|1
αἴλουρος|1
Q.|3
Valerius|1
Catullus|1
iunceus|1
dicis,|4
cōlēs),|1
κάπηλος|1
cavum|1
aedium|2
cāvī,|3
cautum,|3
ēnis,|6
opis,|7
<ī>u.|2
</ī>cette|1
bris,|9
bre|8
ētis,|13
tum|1
ōcis,|1
Orum|14
num.|12
ordin.|1
card.|1
centurio|1
<B>-Eius</B>|1
cerasi|1
pomum|1
tītidis|1
ōpis,|4
cerinus|1
ȳcis,|1
ἄλλως|1
ybis,|3
itos|1
Sosipater|1
Ch.|1
charta|1
dis|1
Catti),|1
mētis|1
Un|1
pidis,|2
cidos|2
uris|3
cinis,|4
<B>cidara</B>|1
cīvī,|3
citum,|7
ciēre|1
cīmīlium),|1
micis,|1
σειρά|1
ψιµυθιστής|1
Quintius|1
cīnxī,|5
ypis,|1
circitor,|1
III,|1
149,|1
30.|3
ferre|8
cīnxi,|3
circumeo|1
clūsī,|9
clūsum,|11
dedī,|4
datum,|5
are|3
flexī,|6
flexum,|6
fluxī,|1
fluxum,|1
fōdī,|11
fossum,|12
fremuī,|4
fulsum,|1
alqd|1
alci|1
rei|1
locūtus|7
loquī|6
moenitus,|1
περικινῶ|1
Ire,|24
nexus,|1
Atus,|5
rōsi,|1
περιρρήσσω|1
saepsī,|7
saeptum,|7
scrīpsi,|2
sectum,|11
stetī|2
περιλύω|1
sonuī,|8
sonātum,|1
spexī,|1
stetī,|3
structum,|1
tēctum,|12
tenuī,|2
ēri|2
tūsus,|1
vāsi,|1
vectus|4
vehī|3
vinctus,|1
m|1
<B>citius</B>,|1
Superl.|21
<B>citissimē</B>,|1
clāruī,|2
clare|1
clausī,|1
clausum,|1
clūstellum),|1
clepsī,|1
cleptum,|1
κλίνη)|1
cingo|1
clōvāca,|1
cluāca),|1
clūnābulum),|1
πίθηκος,|1
κερκοπίθηκος|1
mīdis,|1
dācis,|2
coaluī,|1
coalitum,|1
itus,|1
guī,|7
gūtum|1
Aris|1
lidis,|1
clitis,|1
n.)|2
<B>Euboeae</B>|1
Emptum,|5
coiī|1
coepī,|1
coeptum,|1
coepere|1
pelicanus|1
centis,|1
gnōvī,|1
gnitum,|1
coēgi,|1
coāctum,|1
ēdis,|2
c|1
horruī,|5
chōrs;|1
cohortor,|1
Claud.|3
Quadrig.|3
54|1
colon|1
cultor|1
factus|6
fierī|12
lābi|2
libuit|2
līquī,|4
collūxī,|1
lūsum,|7
colluvies|1
collyris|1
cultum,|7
Colonae|1
rōtis,|2
badis|1
Ustum,|6
Esum|3
comedo|1
comitia,|1
6,10213|1
comitor|1
mānsus,|1
6,|7
2436|1
marcuī,|2
yris,|2
mātūruī,|3
isse|2
commentor,|1
Rut.|1
Lup.|1
cod.|2
A|1
meruī,|3
meritum,|3
meritus|1
Erī,|2
mīnxī,|3
mictum|1
mentus|2
minīscī|3
minuī,|4
minūtum,|2
miscuī,|3
mixtum|1
ritus|2
mortuus|7
morī|7
commoror|1
mulsī,|5
mulsum,|3
cipis,|6
communico|1
cōmpsī,|1
cōmptum,|1
pactus|1
paris,|1
adi.|4
parsī|1
pāruī,|2
cipis|7
passus|3
perī,|1
pertus|2
pēscuī,|2
petīvī|1
pēgī,|2
pāctum,|3
pīnxī,|5
cuī|1
plēvī,|7
plētum,|6
plōsī,|4
plōsum,|4
Utum,|15
neutr.|16
<B>complūra|1
potis|2
συγκτήτωρ|1
praedis,|2
prehendī|2
Frontin.|1
aqu.|1
77|1
Buech.),|1
pūnxī,|4
pūnctum,|5
putuī,|1
putruī,|2
calluī,|3
σύνδειπνος|1
cerpsī,|5
cerptum,|5
concerto|1
inciens|1
cinuī,|1
centum,|1
συµπολίτης|1
clūsi,|2
coxī,|9
coctum,|9
<B>-Ensēs</B>|1
dis,|2
bruī,|1
puī,|6
concubina|1
συναναπίπτω|1
