ficis,|3
carnis,|1
navis,|1
carpsi,|1
carptum|1
avi,|4
ĭnis|1
spiritus,|1
ville|1
la|13
Bétique|1
Chatti,|1
Porta|1
cati|1
Cati,|1
caudŭla,|1
Caunĭus,|1
causĭa,|1
cāvi,|1
cautum|2
căve|1
sis|1
căvĭāres|1
ŏpis,|6
Ceōrum,|1
bris,|10
bre|8
aquae|1
cĕlĕris,|1
cĕlĕre|1
cellae,|1
ōcis,|1
ēri,|4
pălus,|1
nummus,|1
rosa,|1
triticum,|1
fistula,|1
pĕdis|9
vĭri,|6
Aphrŏdītēs,|1
gemma,|1
montes|1
ōpis,|8
Cĕrĕris,|1
locus,|1
comme|6
cēvi|1
funes,|1
lapis|2
palmae,|1
ĭtos,|1
āi|1
Catti,|1
Insulae,|1
inusité,|2
ydis|1
metrum|1
chortis|1
oleum,|2
ētis|3
basiliscus,|2
ūn|1
malum,|1
choos,|1
pŏdis,|6
cibare,|1
cibatum|1
cĭbi,|1
ĭdŏs,|1
cĭcŭris|1
cīvi,|1
cīlo|1
Aquae,|4
cillo,|1
cilli,|1
Prisc.|6
cineris,|1
ypis|1
dignitas,|1
ĭī|11
ecti,|1
exus|1
clausi,|2
clausum|3
clūsi,|10
clūsum|10
cursare|1
ăre,|1
dĕdī,|1
dătum|8
dūxi,|11
flexi,|6
flectum|2
fluxi|4
fodĕre|1
fōdi,|15
fossum|15
fremui|4
lŏqui,|5
metiri|1
circummixero,|1
parf.|7
fut.|4
ant.|1
circummingo,|1
munire,|1
munivi,|1
munitum|1
plausi|1
plexum,|1
plecti,|1
plexus|1
saepsi,|5
saeptum|5
scripsi,|18
scriptum|18
secare,|2
sectum|16
sēdi,|15
stĕti|3
sonare,|1
sonŭi,|2
sonatum|1
spexi,|11
strepitum|1
tectum|11
tonare,|1
tonui|2
vāsi|2
vectari,|1
vectatus|1
vehi,|1
vectus|4
vincire,|1
vinctum|5
pirum,|1
gens,|2
aspellam|1
montes,|4
ĕri|1
cĭtĕrĭus,|1
citer|1
Cĭtĭēus|1
cito|1
accompagné|1
ultro|1
Cittiensis|1
Cĭos,|1
[clabula,|1
p.|1
clavula|1
clazendix,|1
acc.;|1
clārui|1
claudor,|1
ī|1
clausurus|1
clepsi,|1
cleptum|1
.|3
Megale|1
Clīūs,|1
Clītŏrĭum,|1
avis,|2
Romana|1
acus|1
acui|1
adolevi|1
aequare,|1
aequavi,|1
aequatum|1
coalŭi,|1
coalitum|1
arui|1
argutum,|1
ygis,|6
on,|3
coco|1
Sinus,|1
Euboea|1
Syria,|1
Apollo,|1
ēmi,|7
senex,|1
coepi,|1
coeptum|1
cŏercŭi,|1
cŏercitum|1
cŏĭcis,|2
cognōvi,|2
cognĭtum|2
cŏēgi,|1
cŏactum|1
ēdis,|3
cŏhercŭi,|1
cŏhercitum|1
cohibiliter,|1
cŏhorrŭi|1
cŏhortis,|1
pĭtis|1
cŏhi,|1
cŏĕuntis|1
cŏinferre|1
olea,|5
fieri,|2
collabi,|1
collapsus|1
collactaneus|1
dea,|5
lĭbŭit|4
tegulae,|2
collīsi,|2
collīsum|2
colligate,|2
Porta,|3
lēvi,|8
litum|2
liqui|2
locare,|2
locavi,|2
locatum|2
collŏqui,|2
collŏcūtus|2
colluxi|1
lutum|2
jus,|1
s.-ent.|3
Agrippinensis,|1
Trajana,|1
melos,|1
 |7
cŏlossĭcŏs,|1
dentes,|1
incolumis|1
metrum,|2
olivae,|1
comae,|1
Gallia,|2
acus,|1
Hiera,|1
cŏmĕdis|1
cŏmĕdĕre|1
cŏmēdi,|1
cŏmēsum|1
comedis|1
comedesse|1
cōme|1
mansum|4
marcui|1
matris,|1
maturui|1
isse|2
casus,|3
mĕrŭi|2
metiri,|1
indél.|3
militis,|1
minxi,|1
mictum|1
minisci,|1
mentus|1
minŭi,|1
minutum|1
Lucr.|4
eritum|2
est|12
iri,|11
passif|15
commonefacio|1
monŭi,|2
monitum|2
mori,|4
mortuus|7
Lymphae|1
commote,|1
Fest.|5
convocanto|1
cĭpis,|8
pacisci,|3
pactus|4
comparis,|2
parcĕre|2
parsi|4
ē,|2
parui|2
cĭpis|4
iri|13
pastum|3
pati,|1
passus|2
pŭli,|3
ii|7
comperire,|1
comperi,|1
compertum|1
pertus|2
pēgi,|4
pactum|5
arch.,|1
