arcersio, arcersii
arcersio, arcersivi
arcerso, arcersii
arcerso, arcersivi
arcessio, arcessii
arcessio, arcessivi
arcesso, arcessii
arcesso, arcessivi
architecto, architectavi
arco, arcui
arcto, arctavi
arcuo, arcuavi
ardeo, arsi
ardesco, arsi
arefacio, arefeci
areo, arui
aresco, arescui
aresco, arui
arfacio, arfeci
arguo, argui
arguto, argutavi
arieto, arietavi
ariolo, ariolavi
armo, armavi
aro, aravi
aromatizo, aromatizavi
arramio, arramiavi
arremigo, arremigavi
arrepo, arrepsi
arresto, arrestavi
arrideo, arrisi
arrigo, arrexi
arrigo, arrigavi
arripio, arripui
arrodo, arrosi
arrogo, arrogavi
arroro, arroravi
arruo, arrui
articulo, articulavi
artio, artii
artio, artivi
arto, artavi
artro, artravi
arveho, arvexi
ascendo, ascendi
ascisco, ascii
ascisco, ascivi
ascribo, ascripsi
aspargo, asparsi
aspecto, aspectavi
aspergo, aspersi
aspero, asperavi
aspicio, aspexi
aspiro, aspiravi
asporto, asportavi
aspuo, aspui
assentio, assensi
assero, asserui
assero, assevi
asservio, asservii
asservio, asservivi
asservo, asservavi
assevero, asseravi
assevero, asseveravi
assibilo, assibilavi
assiccesco, assiccui
assicco, assiccavi
assideo, assedi
assido, assedi
assiduo, assiduavi
assignifico, assignificavi
assigno, assignavi
assilio, assilui
assimilo, assimilavi
assimulo, assimulavi
assisto, asstiti
asso, assavi
associo, associavi
assolo, assolavi
assono, assonavi
assuefacio, assuefeci
assuesco, assuevi
assugo, assuxi
assulto, assultavi
assum, affui
assuo, assui
assurgo, assurrexi
assuspiro, assuspiravi
asterno, astravi
astipulo, astipulavi
astituo, astitui
asto, astiti
astrangulo, astrangulavi
astrepo, astrepui
astrifico, astrificavi
astringo, astrinxi
astruo, astruxi
ategro, ategravi
atopto, atoptavi
attachio, attachii
attachio, attachivi
attamino, attaminavi
attegro, attegravi
attempero, attemperavi
attempto, attemptavi
attendo, attendi
attento, attentavi
attenuo, attenuavi
attermino, atterminavi
attero, attrii
attero, attrivi
attexo, attexui
atticisso, atticissavi
attigo, attigi
attillo, attillavi
attineo, attinui
attingo, attigi
attingo, attinxi
attitulo, attitulavi
attolero, attoleravi
attondeo, attondi
attono, attonui
attorno, attornavi
attracto, attractavi
attraho, attraxi
attrecto, attrectavi
attrepido, attrepidavi
attribulo, attribulavi
