conpitalis, conpitalis
conpitensis, conpitensis
conplus, conpluris
conpos, conpotis
conpotens, conpotentis
conprehendibilis, conprehendibilis
conprehensibilis, conprehensibilis
conprimens, conprimentis
conputabilis, conputabilis
conrecumbens, conrecumbentis
conrugis, conrugis
conruptibilis, conruptibilis
conruptrix, conruptricis
conseminalis, conseminalis
Consens, Consentis
consensualis, consensualis
consentiens, consentientis
consequens, consequentis
conservabilis, conservabilis
conservans, conservantis
consimilis, consimilis
consistorialis, consistorialis
consociabilis, consociabilis
consolabilis, consolabilis
consonans, consonantis
consors, consortis
consortalis, consortalis
conspatians, conspatiantis
conspicabilis, conspicabilis
conspiciens, conspicientis
constans, constantis
constibilis, constibilis
consubstantialis, consubstantialis
consularis, consularis
consummabilis, consummabilis
consumptibilis, consumptibilis
consutilis, consutilis
contans, contantis
contemplabilis, contemplabilis
contemporalis, contemporalis
contemptibilis, contemptibilis
contemtibilis, contemtibilis
conternans, conternantis
contestificans, contestificantis
continens, continentis
contionalis, contionalis
contitularis, contitularis
contractabilis, contractabilis
contradicibilis, contradicibilis
contrajuris, contrajuris
contrectabilis, contrectabilis
contribulis, contribulis
controversialis, controversialis
contumax, contumacis
conturbator, conturbatoris
conubialis, conubialis
conveniens, convenientis
conventionalis, conventionalis
conversibilis, conversibilis
convertibilis, convertibilis
convivalis, convivalis
coodibilis, coodibilis
cops, copis
copulabilis, copulabilis
coquibilis, coquibilis
coquinaris, coquinaris
cordax, cordacis
Corinthienis, Corinthienis
corniculans, corniculantis
cornifrons, cornifrontis
cornipes, cornipedis
cornualis, cornualis
coronalis, coronalis
corporalis, corporalis
corpuscularis, corpuscularis
correcumbens, correcumbentis
corrugis, corrugis
corruptibilis, corruptibilis
corruptrix, corruptricis
costabilis, costabilis
cracens, cracentis
creabilis, creabilis
credibilis, credibilis
cremabilis, cremabilis
cremialis, cremialis
crepax, crepacis
crepusculascens, crepusculascentis
criminalis, criminalis
crinalis, crinalis
crispans, crispantis
crispcans, crispcantis
crispiculcans, crispiculcantis
cruciabilis, cruciabilis
crudelis, crudelis
cruralis, cruralis
cubans, cubantis
cubicularis, cubicularis
cubitalis, cubitalis
cujas, cujatis
cujatis, cujatis
culearis, culearis
cullearis, cullearis
culminalis, culminalis
culpabilis, culpabilis
cultualis, cultualis
culturalis, culturalis
cumatilis, cumatilis
cunctalis, cunctalis
cunctans, cunctantis
cunctipotens, cunctipotentis
cuneiformis, cuneiformis
cunicularis, cunicularis
cupes, cupedis
cupiens, cupientis
