adjunctio|adjunctĭo=ādjūnctĭō̆|5|ādjūnctĭōn||ionis, f.|
adjungo|adjungo=ādjūngo|19|ādjūnx|ādjūnct|is, ere, iunxi, iunctum|
adjuro|adjūro=ādjūro|17|||as, are|
adjuto|adjūto=ādjūto|17|||as, are|
adjutor|adjūtor=ādjūtŏr|5|ādjūtōr||oris, m.|
adjutorium|adjūtōrĭum=ādjūtōrĭŭm|4|||i, n.|
adjutrix|adjūtrix=ādjūtrīx|5|ādjūtrīc||icis, f.|
adjuvo|adjŭvo=ādjŭvo|17|ādjūv|ādjūt|as, are, iuui, iutum|
adlabor|adlābor=ā̆dlābŏr|26||ā̆dlāps|eris, i, lapsus sum|
adlapsus|adlapsus=ā̆dlāpsus|9|||us, m.|
adlego|adlēgo2=ā̆dlēgo|17|||as, are|
adlego|adlĕgo=ā̆dlĕgo|19|ā̆dlēg|ā̆dlēct|is, ere, legi, lectum|
adlevo|adlĕvo=ā̆dlĕvo|17|||as, are|
adligo|adlĭgo=ā̆dlĭgo|17|||(all-), as, are|
adlino|adlĭno=ā̆dlĭno|19|||is, ere, leui, litum|
adloquium|adlŏquĭum=ā̆dlŏquĭŭm|4|||i, n.|
adloquor|adlŏquor=ā̆dlŏquŏr|26||ā̆dlŏcūt,ā̆dlŏquūt,ā̆dlŏcūt|eris, i, locutus sum|
adluo|adlŭo=ā̆dlŭo|19|ā̆dlŭ||is, ere, lui|
adminiculum|admĭnĭcŭlum=ādmĭnĭcŭlŭm|4|||i, n.|
administratio|admĭnistrātĭo=ādmĭnīstrātĭō̆|5|ādmĭnīstrātĭōn||ionis, f.|
administro|admĭnistro=ādmĭnīstro|17|||as, are|
admirabilis|admīrābĭlis=ādmīrābĭlĭs|14|ādmīrābĭl||e|
admirandus|admīrandus=ādmīrāndus|11|||a, um|
admiratio|admīrātĭo=ādmīrātĭō̆|5|ādmīrātĭōn||onis, f.|
admirator|admīrātor=ādmīrātŏr|5|ādmīrātōr||oris, m.|
admiror|admīror=ādmīrŏr|24|||aris, ari, atus sum|
admisceo|admiscĕo=ādmīscĕo|18|ādmīscŭ|ādmīxt|es, ere, scui, mixtum|
admitto|admitto=ādmītto|19|ādmīs|ādmīss|is, ere, misi, missum|
admodum|admŏdum=ādmŏdŭm|30|||adv.|
admolior|admōlĭor=ādmōlĭŏr|28||ādmōlīt|iris, iri, molitus sum|
admoneo|admŏnĕo=ādmŏnĕo|18|ādmŏnŭ|ādmŏnĭt|es, ere, monui, monitum|
admonitus|admŏnĭtus=ādmŏnĭtus|9|||us, m.|
admoveo|admŏvĕo=ādmŏvĕo|18|ādmōv|ādmōt|es, ere, moui, motum|
admurmuratio|admurmŭrātĭo=ādmūrmŭrātĭō̆|5|ādmūrmŭrātĭōn||tionis, f.|
adnecto|adnecto=ādnēcto|19|ādnēxŭ|ādnēx|is, ere, nexui, nexum|
adnitor|adnītor=ādnītŏr|26||ādnīs,ādnīx|eris, i, nisus (nixus) sum|
adno|adno=ādno|17|||as, are|
