adjuvo|adjuvo_, adjuva_re, adju_vi_, adju_tum : v1
admetior|adme_tior, adme_ti_ri_, adme_nsus sum : v4 dep
adminiculum|adminiculum, adminiculi_ : n
administer|administer, administri_ : m
administratio|administra_tio_, administra_tio_nis : f
administrator|administra_tor, administra_to_ris : m
administro|administro_, administra_re, administra_vi_, administra_tum : v1
admirabilis|admi_ra_bilis, admi_ra_bile : a
admirabilitas|admi_ra_bilita_s, admi_ra_bilita_tis : f
admirabiliter|admi_ra_biliter : adv
admiratio|admi_ra_tio_, admi_ra_tio_nis : f
admirator|admi_ra_tor, admi_ra_to_ris : m
admiror|admi_ror, admi_ra_ri_, admi_ra_tus sum : v1 dep
admisceo|admisceo_, admisce_re, admiscui_, admixtum : v2
admissio|admissio_, admissio_nis : f
admissum|admissum, admissi_ : n
admitto|admitto_, admittere, admi_si_, admissum : v3
admixtio|admixtio_, admixtio_nis : f
admodum|admodum : adv
admoneo|admoneo_, admone_re, admonui_, admonitum : v2
admonitio|admonitio_, admonitio_nis : f
admonitor|admonitor, admonito_ris : m
admonitus|admonitus, admonitu_s : m
admoveo|admoveo_, admove_re, admo_vi_, admo_tum : v2
admurmuro|admurmuro_, admurmura_re, admurmura_vi_, admurmura_tum : v1
adnecto|adnecto_, adnectere, adnexui_, adnexum : v3
adnitor|adni_tor, adni_ti_, adni_xus/adni_sus sum : v3 dep
adno|adno_, adna_re, adna_vi_, adna_tum : v1
adnoto|adnoto_, adnota_re, adnota_vi_, adnota_tum : v1
adnumero|adnumero_, adnumera_re, adnumera_vi_, adnumera_tum : v1
adnuntio|adnu_ntio_, adnu_ntia_re, adnu_ntia_vi_, adnu_ntia_tum : v1
adnuo|adnuo_, adnuere, adnui_, adnu_tum : v3
adoleo|adoleo_, adole_re, adolui_, adultum : v2
adolesco|adole_sco_, adole_scere, adole_vi_, adultum : v3
adoptatio|adopta_tio_, adopta_tio_nis : f
adoptio|adoptio_, adoptio_nis : f
adoptivus|adopti_vus, adopti_va, adopti_vum : a
